"","Perioden","PrijsindexVerkoopprijzen_1","OntwikkelingTOVVoorgaandePeriode_2","OntwikkelingTOVEenJaarEerder_3","VerkochteWoningen_4","OntwikkelingTOVVoorgaandePeriode_5","OntwikkelingTOVEenJaarEerder_6","GemiddeldeVerkoopprijs_7","TotaleWaardeVerkoopprijzen_8"
"303","2012MM11",69.1,0.3,-7.2,9833,15.6,3.6,220465,2168
"304","2012MM12",68.8,-0.4,-6.7,17364,76.6,32.2,221887,3853
"305","2012KW04",68.9,-0.8,-7.3,35704,55.4,11.3,219746,7846
"306","2012JJ00",71,-6.3,-6.3,117261,-2.9,-2.9,226661,26578
"307","2013MM01",66.8,-2.8,-9.6,6260,-63.9,-11.6,206583,1293
"308","2013MM02",67.6,1.2,-8.2,7897,26.2,1.2,210384,1661
"309","2013MM03",67.6,0.1,-7.1,8933,13.1,-1.4,220430,1969
"310","2013KW01",67.4,-2.3,-8.3,23090,-35.3,-3.6,213240,4924
"311","2013MM04",66.8,-1.2,-7.3,6554,-26.6,-20.4,214969,1409
"312","2013MM05",66,-1.2,-8,8333,27.1,-18.2,211869,1766
"313","2013MM06",65.6,-0.7,-9.5,7224,-13.3,-55.4,206114,1489
"314","2013KW02",66.1,-1.8,-8.3,22111,-4.2,-36.1,210908,4663
"315","2013MM07",66.3,1.2,-5.1,9659,33.7,29.6,213967,2067
"316","2013MM08",66.4,0.1,-4.3,9977,3.3,19,215092,2146
"317","2013MM09",66.3,-0.1,-3.9,9289,-6.9,30,215283,2000
"318","2013KW03",66.3,0.3,-4.5,28925,30.8,25.9,214778,6212
"319","2013MM10",66.2,-0.2,-3.9,9929,6.9,16.7,213050,2115
"320","2013MM11",66,-0.4,-4.5,10576,6.5,7.6,212126,2243
"321","2013MM12",66.3,0.6,-3.5,15463,46.2,-10.9,215388,3331
"322","2013KW04",66.2,-0.3,-4,35968,24.3,0.7,213784,7689
"323","2013JJ00",66.5,-6.3,-6.3,110094,-6.1,-6.1,213353,23489
"324","2014MM01",66.6,0.4,-0.3,8905,-42.4,42.3,219530,1955
"325","2014MM02",66.6,0,-1.4,10030,12.6,27,213822,2145
"326","2014MM03",66.5,-0.3,-1.8,10028,0,12.3,214147,2147
"327","2014KW01",66.6,0.6,-1.2,28963,-19.5,25.4,215689,6247
"328","2014MM04",66.9,0.7,0.1,10780,7.5,64.5,220136,2373
"329","2014MM05",66.9,0,1.4,11966,11,43.6,219607,2628
"330","2014MM06",67.2,0.4,2.5,11328,-5.3,56.8,222301,2518
"331","2014KW02",67,0.7,1.3,34074,17.6,54.1,220670,7519
"332","2014MM07",67.7,0.8,2.1,13883,22.6,43.7,226750,3148
"333","2014MM08",67.8,0.1,2.1,12328,-11.2,23.6,225149,2776
"334","2014MM09",67.7,-0.2,2.1,12949,5,39.4,223567,2895
"335","2014KW03",67.7,1.1,2.1,39160,14.9,35.4,225194,8819
"336","2014MM10",67.9,0.3,2.5,14353,10.8,44.6,224795,3226
"337","2014MM11",67.8,-0.2,2.7,11696,-18.5,10.6,220204,2576
"338","2014MM12",68.1,0.4,2.6,25265,116,63.4,226646,5726
"339","2014KW04",67.9,0.2,2.6,51314,31,42.7,224660,11528
"340","2014JJ00",67.3,1.2,1.2,153511,39.4,39.4,222218,34113
"341","2015MM01",68.3,0.3,2.5,9437,-62.6,6,222800,2103
"342","2015MM02",68.5,0.3,2.8,11697,23.9,16.6,216678,2534
"343","2015MM03",68.6,0.1,3.2,13393,14.5,33.6,225024,3014
"344","2015KW01",68.4,0.8,2.8,34527,-32.7,19.2,221589,7651
"345","2015MM04",68.8,0.3,2.7,12748,-4.8,18.3,224376,2860
"346","2015MM05",68.9,0.3,3,12827,0.6,7.2,228032,2925
"347","2015MM06",69.3,0.5,3.1,15147,18.1,33.7,229381,3474
"348","2015KW02",69,0.8,2.9,40722,17.9,19.5,227389,9260
"349","2015MM07",69.9,0.9,3.3,18422,21.6,32.7,232562,4284
"350","2015MM08",69.9,0,3.1,15863,-13.9,28.7,233485,3704
"351","2015MM09",70.4,0.7,4,16324,2.9,26.1,233956,3819
"352","2015KW03",70.1,1.6,3.5,50609,24.3,29.2,233301,11807
"353","2015MM10",70.6,0.3,3.9,16324,0,13.7,237796,3882
"354","2015MM11",70.7,0.1,4.3,14545,-10.9,24.4,234610,3412
"355","2015MM12",70.5,-0.3,3.6,21566,48.3,-14.6,233242,5030
"356","2015KW04",70.6,0.7,3.9,52435,3.6,2.2,235039,12324
"357","2015JJ00",69.5,3.3,3.3,178293,16.1,16.1,230194,41042
"358","2016MM01",71.2,1.1,4.4,11907,-44.8,26.2,238934,2845
"359","2016MM02",71.3,0.1,4.2,14866,24.9,27.1,234830,3491
"360","2016MM03",71.8,0.6,4.7,16124,8.5,20.4,235799,3802
"361","2016KW01",71.5,1.3,4.4,42897,-18.2,24.2,236333,10138
"362","2016MM04",72,0.3,4.7,16387,1.6,28.5,239522,3925
"363","2016MM05",72.4,0.6,5,16066,-2,25.3,236730,3803
"364","2016MM06",72.9,0.6,5.1,17862,11.2,17.9,242089,4324
"365","2016KW02",72.4,1.4,5,50315,17.3,23.6,239542,12053
"366","2016MM07",73.6,1.1,5.3,19723,10.4,7.1,245980,4851
"367","2016MM08",74.3,0.9,6.3,19975,1.3,25.9,249054,4975
"368","2016MM09",74.9,0.8,6.5,21009,5.2,28.7,253498,5326
"369","2016KW03",74.3,2.6,6,60707,20.7,20,249593,15152
"370","2016MM10",74.9,-0.1,6.1,17339,-17.5,6.2,247673,4294
"371","2016MM11",75.2,0.4,6.4,18255,5.3,25.5,246819,4506
"372","2016MM12",75.6,0.5,7.2,25280,38.5,17.2,246511,6232
"373","2016KW04",75.2,1.2,6.6,60874,0.3,16.1,246934,15032
"374","2016JJ00",73.3,5.5,5.5,214793,20.5,20.5,243837,52374
"375","2017MM01",76.3,1,7.1,16555,-34.5,39,258467,4279
"376","2017MM02",76.5,0.3,7.2,17708,7,19.1,253388,4487
"377","2017MM03",77.4,1.1,7.8,21648,22.3,34.3,258838,5603
"378","2017KW01",76.7,2,7.4,55911,-8.2,30.3,257002,14369
"379","2017MM04",77.6,0.3,7.9,16694,-22.9,1.9,256800,4287
"380","2017MM05",78.3,0.9,8.1,19990,19.7,24.4,259615,5190
"381","2017MM06",79,0.8,8.4,21686,8.5,21.4,264362,5733
"382","2017KW02",78.3,2.1,8.1,58370,4.4,16,260573,15210
